Country,Value
Liechtenstein,-
Lithuania,100
Luxembourg,-
Madagascar,64
Malawi,61
Malaysia,93
Maldives,98
Mali,31
Malta,93
Marshall Islands,-
Mauritania,46
Mauritius,89
Mexico,93
Micronesia (Federated States of),-
Monaco,-
Mongolia,98
Montenegro,98
Morocco,67
Mozambique,51
Myanmar,93
Namibia,76
Nauru,-
Nepal,60
Netherlands,-
New Zealand,-
Nicaragua,78
Niger,15
Nigeria,51
Niue,-
Norway,-
Oman,87
Pakistan,55
Palau,100
Panama,94
Papua New Guinea,63
Paraguay,94
Peru,94
Philippines,95
Poland,100
Portugal,94
Qatar,96
Republic of Korea,-
Republic of Moldova,99
Romania,99
Russian Federation,100
Rwanda,66
Saint Kitts and Nevis,-
Saint Lucia,-
Saint Vincent and the Grenadines,-
Samoa,99
